name,url,price,unit,stock_status,image_url,category
CMT mondmasker groen 1000st,https://www.qsta.nl/en_US/p/cmt-mondmasker-groen-1000st/1710/,"€ 42,50 /Unit excl. BTW",/Unit,2730 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Non-Food
CMT mondmasker wit 1000st,https://www.qsta.nl/en_US/p/cmt-mondmasker-wit-1000st/1712/,"€ 42,50 /Unit excl. BTW",/Unit,587 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Non-Food
CMT bouffant cap micromaas wit L 57cm 200st,https://www.qsta.nl/en_US/p/cmt-bouffant-cap-micromaas-wit-l-57cm-200st/1714/,"€ 58,15 /Unit excl. BTW",/Unit,17 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Non-Food
CMT baardmasker rood 1000st,https://www.qsta.nl/en_US/p/cmt-baardmasker-rood-1000st/1715/,"€ 42,50 /Unit excl. BTW",/Unit,24 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Non-Food
CMT baardmasker blauw 1000st,https://www.qsta.nl/en_US/p/cmt-baardmasker-blauw-1000st/1716/,"€ 42,50 /Unit excl. BTW",/Unit,593 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Non-Food
CMT baardmasker wit 1000st,https://www.qsta.nl/en_US/p/cmt-baardmasker-wit-1000st/1719/,"€ 42,50 /Unit excl. BTW",/Unit,234 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Non-Food
CMT baardmasker wit 1000st,https://www.qsta.nl/en_US/p/cmt-baardmasker-wit-1000st/1722/,"€ 42,50 /Unit excl. BTW",/Unit,267 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Non-Food
CMT baardmasker blauw 1000st,https://www.qsta.nl/en_US/p/cmt-baardmasker-blauw-1000st/1723/,"€ 42,50 /Unit excl. BTW",/Unit,187 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Non-Food
CMT detectiepleisters blauw 19x72mm 100st,https://www.qsta.nl/en_US/p/cmt-detectiepleisters-blauw-19x72mm-100st/1725/,"€ 5,25 /Unit excl. BTW",/Unit,10 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Non-Food
"CMT wandhouder transparant schorten 51,5x15cm 1st",https://www.qsta.nl/en_US/p/cmt-wandhouder-transparant-schorten-515x15cm-1st/1726/,"€ 117,91 /Unit excl. BTW",/Unit,28 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Non-Food
"CMT wandhouder transparant laag 24,5x13,5x8,5cm 1st",https://www.qsta.nl/en_US/p/cmt-wandhouder-transparant-laag-245x135x85cm-1st/1730/,"€ 21,54 /Unit excl. BTW",/Unit,114 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Non-Food
CMT desinfectiemiddel vloeibaar 500ml 12st,https://www.qsta.nl/en_US/p/cmt-desinfectiemiddel-vloeibaar-500ml-12st/1739/,"€ 120,75 /Unit excl. BTW",/Unit,6 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Non-Food
CMT mouwovertrek wit 20x40cm 2000st,https://www.qsta.nl/en_US/p/cmt-mouwovertrek-wit-20x40cm-2000st/1741/,"€ 69,30 /Unit excl. BTW",/Unit,30 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Non-Food
CMT schort wit 90x140cm 1st,https://www.qsta.nl/en_US/p/cmt-schort-wit-90x140cm-1st/1743/,"€ 22,78 /Unit excl. BTW",/Unit,42 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Non-Food
CMT schort wit 90x130cm 1st,https://www.qsta.nl/en_US/p/cmt-schort-wit-90x130cm-1st/1745/,"€ 21,15 /Unit excl. BTW",/Unit,43 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Non-Food
CMT wandhouder dispdsjes transparant 39x26x10cm 1st,https://www.qsta.nl/en_US/p/cmt-wandhouder-dispdsjes-transparant-39x26x10cm-1st/1752/,"€ 52,00 /Unit excl. BTW",/Unit,138 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Non-Food
Yugen kombucha gember-citroen 24x325ml,https://www.qsta.nl/en_US/p/yugen-kombucha-gember-citroen-24x325ml/3359/?c=768,"€ 68,04 /Unit excl. BTW",/Unit,22 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Lifestyle
